origin_id,destination_id,distance [m]
0,0,
0,17,43798.0845
0,18,47252.99168
0,20,57171.88493
0,21,62260.57345
0,23,65441.75165
0,24,74560.03586
0,25,79529.16198
0,29,85539.80779
0,30,87938.518
0,31,91056.16972
0,32,92687.25416
0,33,91400.06737
0,35,95523.37205
0,36,100187.9209
0,38,98422.25932
0,39,98887.17292
0,40,101449.1586
0,41,104098.9637
0,48,141950.7485
0,52,157472.6555
0,53,157041.3791
0,54,150522.3425
0,57,144710.1074
0,58,142823.8928
0,60,131536.7094
0,61,127066.3779
0,62,128700.413
0,63,123952.3925
0,64,119133.5787
0,66,120662.2453
0,67,115369.6615
0,68,107991.1084
0,69,108536.5834
0,77,66832.38929
0,82,40945.6327
0,83,43188.48679
0,84,42301.90315
0,85,36221.35166
0,86,37167.57915
0,87,34741.16474
0,88,29952.03933
0,89,29218.36919
0,90,16011.18979
17,0,43798.0845
17,17,
17,18,7024.78491
17,20,16943.67816
17,21,22032.36667
17,23,25213.54488
17,24,34331.82909
17,25,39300.95521
17,29,45311.60102
17,30,47710.31123
17,31,50827.96295
17,32,52459.04739
17,33,51171.8606
17,35,55295.16528
17,36,59959.71412
17,38,58194.05255
17,39,58658.96615
17,40,61220.95181
17,41,63870.75688
17,48,101722.5417
17,52,117244.4487
17,53,116813.1723
17,54,110294.1357
17,57,104481.9007
17,58,102595.686
17,60,91308.5026
17,61,86838.17115
17,62,88472.20625
17,63,83724.18577
17,64,78905.37188
17,66,80434.03855
17,67,75141.45468
17,68,67762.90162
17,69,68308.37658
17,77,26604.18252
17,82,4695.231737
17,83,6938.085832
17,84,6051.502185
17,85,8199.534545
17,86,7611.13082
17,87,11213.10055
17,88,14536.5039
17,89,18144.20219
17,90,28400.97779
18,0,47252.99168
18,17,7024.78491
18,18,
18,20,12188.51454
18,21,17277.20305
18,23,20458.38126
18,24,29576.66547
18,25,34545.79159
18,29,40556.4374
18,30,42955.14761
18,31,46072.79933
18,32,47703.88377
18,33,46416.69698
18,35,50540.00166
18,36,55204.55049
18,38,53438.88893
18,39,53903.80252
18,40,56465.78819
18,41,59115.59326
18,48,96967.37812
18,52,112489.2851
18,53,112058.0087
18,54,105538.9721
18,57,99726.73704
18,58,97840.52236
18,60,86553.33898
18,61,82083.00753
18,62,83717.04263
18,63,78969.02215
18,64,74150.20826
18,66,75678.87493
18,67,70386.29106
18,68,63007.738
18,69,63553.21296
18,77,21849.0189
18,82,8150.138915
18,83,10392.99301
18,84,9506.409363
18,85,11654.44172
18,86,11066.038
18,87,14668.00773
18,88,17991.41108
18,89,21599.10937
18,90,31855.88497
20,0,57171.88493
20,17,16943.67816
20,18,12188.51454
20,20,
20,21,9561.013073
20,23,12742.19128
20,24,21860.47549
20,25,26829.60161
20,29,32840.24742
20,30,35238.95763
20,31,38356.60935
20,32,39987.69379
20,33,38700.507
20,35,42823.81168
20,36,47488.36051
20,38,45722.69895
20,39,46187.61254
20,40,48749.59821
20,41,51399.40328
20,48,89251.18814
20,52,104773.0951
20,53,104341.8187
20,54,97822.78213
20,57,92010.54706
20,58,90124.33238
20,60,78837.149
20,61,74366.81755
20,62,76000.85265
20,63,71252.83217
20,64,66434.01828
20,66,67962.68494
20,67,62670.10108
20,68,55291.54802
20,69,55837.02298
20,77,14132.82892
20,82,18069.03217
20,83,20311.88626
20,84,19425.30262
20,85,21573.33498
20,86,20984.93125
20,87,24586.90098
20,88,27910.30433
20,89,31518.00262
20,90,41774.77822
21,0,62260.57345
21,17,22032.36667
21,18,17277.20305
21,20,9561.013073
21,21,
21,23,5610.63314
21,24,14728.91735
21,25,19698.04347
21,29,25708.68928
21,30,28107.39949
21,31,31225.05121
21,32,32856.13565
21,33,31568.94886
21,35,35692.25354
21,36,40356.80237
21,38,38591.14081
21,39,39056.05441
21,40,41618.04007
21,41,44267.84514
21,48,82119.63
21,52,97641.537
21,53,97210.26054
21,54,90691.22399
21,57,84878.98892
21,58,82992.77425
21,60,71705.59086
21,61,67235.25941
21,62,68869.29451
21,63,64121.27403
21,64,59302.46014
21,66,60831.12681
21,67,55538.54294
21,68,48159.98988
21,69,48705.46484
21,77,7001.270777
21,82,23157.72068
21,83,25400.57477
21,84,24513.99113
21,85,26662.02349
21,86,26073.61976
21,87,29675.5895
21,88,32998.99284
21,89,36606.69113
21,90,46863.46673
